player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Michael Kayode,Brentford,D,14,27.45098039,153,30,44.11764706,331,462,793,85.17722879,37,60.6557377,24,30,0,140,3,0,3,6,90,24,17,124,1,2,2.58646108,0.6257,22,0,14.28571429,1,1,39,37,2,1,0,,143,58.84773663,1,0,0,138,32,30,0,30,2634,1,1,1,0,2,0.0,0,0,0,0,420,5,0,6.89,0,0,0,0,0,0,0,2634.0,0.0,0,6,1,2,2,43,52.43902439,57,39,68.42105263,29,82,51,180,59.21052632,68,413,518,931,7,0,1793,43,6
Nathan Collins,Brentford,D,1,100.0,100,79,39.10891089,328,843,1171,82.93201133,74,57.36434109,55,28,2,108,4,3,2,7,167,9,5,87,1,2,1.21228533,1.6536,16,0,7.142857143,1,3,34,31,3,1,0,,42,56.75675676,1,0,0,241,27,9,0,25,2342,2,1,0,0,1,0.0,0,0,0,1,272,1,0,6.8,0,0,0,0,0,0,0,2342.0,0.0,0,14,0,6,6,3,50.0,24,11,45.83333333,9,6,1,116,57.14285714,202,501,911,1412,14,1,1797,15,5
Sepp van den Berg,Brentford,D,0,0.0,73,47,53.40909091,265,778,1043,88.69047619,118,68.20809249,55,26,1,95,4,4,3,6,167,3,5,75,2,0,0.83709842,2.6323,13,0,0.0,0,1,36,33,3,0,0,,25,55.55555556,0,0,0,133,26,5,0,25,2303,0,0,0,0,0,0.0,0,0,0,0,148,1,0,6.784615385,0,0,0,0,0,0,0,0.0,0.0,0,19,1,11,6,1,100.0,15,6,40.0,5,1,0,143,65.59633028,88,354,822,1176,20,0,1496,9,1
Ethan Pinnock,Brentford,D,0,0.0,9,9,50.0,23,87,110,82.70676692,13,56.52173913,10,4,0,11,0,0,0,1,27,1,3,14,0,0,0.06031063,0.0106,0,0,0.0,0,0,5,5,0,0,0,,7,63.63636364,0,0,0,23,5,0,0,4,321,0,1,0,0,0,0.0,0,0,0,0,27,0,0,6.725,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,1,100.0,5,4,80.0,0,1,0,20,58.82352941,18,40,93,133,1,0,196,2,1
Keane Lewis-Potter,Brentford,D,13,30.95238095,94,13,26.0,143,125,268,75.92067989,9,33.33333333,18,29,2,60,4,0,6,4,23,15,8,70,0,0,1.30736884,2.2218,12,0,14.28571429,3,5,22,19,3,3,0,,52,50.0,1,0,1,85,8,13,1,15,1362,3,0,0,0,0,0.0,0,0,0,0,175,6,0,6.686206897,0,1,0,0,0,0,0,454.0,0.0,5,13,8,8,7,11,39.28571429,16,10,62.5,13,28,42,61,46.5648855,50,208,145,353,21,1,633,25,1
Kristoffer Ajer,Brentford,D,1,14.28571429,54,23,29.48717949,146,346,492,78.97271268,55,57.89473684,40,24,1,50,1,1,2,4,102,5,7,80,0,0,0.71224566,0.7805,22,0,0.0,0,1,27,26,1,0,0,,42,51.2195122,0,0,0,131,15,4,0,18,1638,0,0,0,0,1,0.0,0,0,0,0,168,2,0,6.6375,0,0,0,0,0,0,0,0.0,0.0,0,8,2,5,3,2,22.22222222,35,20,57.14285714,4,9,7,97,54.80225989,78,248,375,623,10,0,915,5,3
Aaron Hickey,Brentford,D,0,0.0,34,8,40.0,95,127,222,83.45864662,9,50.0,9,18,0,33,0,1,1,0,20,5,6,32,0,0,0.13420014,0.4147,6,0,0.0,0,0,8,6,2,0,0,,20,46.51162791,0,0,0,44,7,0,0,7,617,0,0,0,0,0,0.0,0,0,0,0,78,0,0,6.558823529,0,0,0,0,0,0,0,0.0,0.0,0,3,2,3,1,0,0.0,12,6,50.0,0,7,4,29,47.54098361,20,121,145,266,5,0,414,8,1
Rico Henry,Brentford,D,3,12.0,75,23,38.98305085,171,199,370,76.92307692,19,47.5,21,25,1,72,1,0,1,3,41,9,8,68,1,3,0.54618954,0.1792,15,0,0.0,0,1,22,21,1,0,0,,47,50.0,0,0,0,111,8,4,0,14,1334,2,0,0,0,1,0.0,0,0,0,0,218,3,0,6.433333333,0,0,0,0,0,0,0,0.0,0.0,0,1,4,4,0,15,50.0,15,11,73.33333333,4,30,25,66,49.25373134,59,239,242,481,5,0,817,17,2
James Tarkowski,Everton,D,2,28.57142857,123,82,40.7960199,352,668,1020,80.44164038,125,71.02272727,51,30,1,71,1,4,4,11,204,1,12,87,1,6,1.27448334,2.297,23,0,6.666666667,1,2,33,30,3,1,0,,70,66.03773585,1,0,0,248,27,15,0,30,2700,2,0,1,0,1,0.0,0,0,0,0,275,3,0,7.183333333,0,0,0,0,0,0,0,2700.0,0.0,0,15,0,4,7,4,57.14285714,39,23,58.97435897,14,7,7,195,69.14893617,201,546,722,1268,15,3,1715,30,5
Jarrad Branthwaite,Everton,D,0,0.0,58,16,50.0,127,105,232,82.85714286,24,77.41935484,7,8,0,19,0,0,1,0,28,1,2,17,0,1,0.09595555,0.2882,3,0,20.0,1,1,6,5,1,1,0,,9,47.36842105,1,0,0,48,8,2,0,5,512,0,0,0,0,0,0.0,0,0,0,1,65,0,0,7.025,0,0,0,0,0,0,0,512.0,0.0,0,5,0,2,2,0,0.0,8,4,50.0,2,4,3,33,66.0,32,160,120,280,5,0,365,1,1
Michael Keane,Everton,D,0,0.0,67,53,50.47619048,246,523,769,85.92178771,88,62.41134752,53,27,0,76,0,3,6,7,174,3,10,82,0,0,0.22328213,1.945,14,0,14.28571429,3,3,30,28,2,3,0,,41,58.57142857,1,0,2,126,33,1,0,24,2153,0,0,0,0,0,0.0,0,0,0,0,147,1,0,6.973076923,1,1,0,0,0,0,0,717.6666667,0.0,0,17,4,9,6,5,62.5,30,20,66.66666667,1,8,1,129,61.13744076,105,336,559,895,21,2,1263,6,0
Nathan Patterson,Everton,D,0,0.0,13,4,30.76923077,28,36,64,77.10843373,7,77.77777778,2,6,0,14,0,0,0,1,16,1,4,13,0,0,0.04110705,0.029,2,0,0.0,0,0,1,1,0,0,0,,13,54.16666667,0,0,0,19,2,0,0,3,265,1,0,0,0,0,0.0,0,0,0,0,38,1,0,6.883333333,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,1,20.0,10,4,40.0,0,5,6,20,60.60606061,13,41,42,83,1,0,146,2,0
Jake O'Brien,Everton,D,12,28.57142857,147,36,31.03448276,318,368,686,74.08207343,91,66.42335766,46,30,1,97,0,0,3,9,122,17,4,93,0,2,0.82524926,0.864,15,0,0.0,0,1,33,30,3,0,0,,64,57.65765766,0,0,1,240,11,13,0,28,2556,3,0,0,0,1,0.0,0,0,0,0,402,4,0,6.773333333,1,0,0,0,0,0,0,0.0,0.0,0,9,0,3,3,5,29.41176471,49,29,59.18367347,13,17,42,155,62.5,116,474,452,926,9,1,1531,11,2
Vitaliy Mykolenko,Everton,D,19,25.67567568,236,39,30.0,436,314,750,79.28118393,37,52.85714286,33,26,1,88,1,0,3,9,112,8,24,104,1,0,2.30670203,0.2937,25,0,0.0,0,1,32,29,3,0,0,,68,48.92086331,0,0,0,196,26,19,0,26,2330,0,1,1,0,0,0.0,0,0,0,0,382,9,0,6.746153846,0,0,0,0,0,0,0,0.0,0.0,0,1,8,4,2,9,34.61538462,37,20,54.05405405,18,26,74,105,50.23923445,130,570,376,946,9,0,1595,22,5
Séamus Coleman,Everton,D,0,0.0,0,0,0.0,2,2,4,100.0,1,100.0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0.00033369,,0,0,0.0,0,0,0,0,0,0,0,,1,50.0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0.0,0,0,0,0,1,0,0,6.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1,2,66.66666667,0,2,2,4,0,0,7,1,0
Joachim Andersen,Fulham,D,4,28.57142857,196,149,46.27329193,565,1174,1739,86.47439085,64,70.32967033,27,28,1,102,3,2,2,6,204,3,15,74,2,0,1.56980184,1.3096,28,0,0.0,0,1,39,35,4,0,0,,51,52.04081633,0,0,0,272,28,6,0,28,2472,0,0,0,0,0,0.0,0,0,0,0,305,1,0,7.042857143,0,0,0,0,0,0,0,0.0,0.0,0,9,3,7,3,6,85.71428571,37,20,54.05405405,6,7,14,115,60.84656085,322,768,1243,2011,12,3,2430,10,7
Kenny Tete,Fulham,D,13,38.23529412,145,36,46.75324675,328,420,748,84.42437923,27,60.0,18,22,0,82,1,0,6,5,68,16,13,87,0,0,1.42077464,0.9581,27,0,6.25,1,1,25,23,2,0,1,,104,60.11560694,0,0,0,138,27,11,0,21,1802,1,0,0,0,0,0.0,0,0,0,0,237,2,0,6.913636364,0,1,0,0,0,0,0,1802.0,0.0,0,10,6,7,3,8,36.36363636,65,38,58.46153846,11,22,34,131,60.09174312,77,402,484,886,16,0,1407,31,2
Jorge Cuenca,Fulham,D,1,50.0,44,26,35.13513514,149,402,551,88.30128205,17,54.83870968,14,14,0,40,1,0,0,2,74,0,4,30,0,0,0.55975008,0.0501,9,0,0.0,0,0,11,11,0,0,0,,19,54.28571429,0,0,0,73,15,3,0,11,952,1,0,0,0,0,0.0,0,0,0,0,81,0,0,6.892307692,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,2,40.0,16,9,56.25,3,5,2,36,54.54545455,74,199,425,624,1,0,769,1,5
Antonee Robinson,Fulham,D,14,22.95081967,133,23,43.39622642,223,211,434,79.34186472,12,60.0,8,15,0,63,1,0,1,3,41,6,16,47,0,1,1.2890423,0.217,10,0,0.0,0,0,12,12,0,0,0,,44,53.01204819,0,0,0,113,16,17,0,12,1045,2,0,0,0,0,0.0,0,0,0,0,220,1,0,6.82,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,0,7,46.66666667,32,17,53.125,17,15,61,56,54.36893204,53,284,263,547,2,1,902,5,3
Calvin Bassey,Fulham,D,3,33.33333333,120,44,38.26086957,357,798,1155,87.89954338,31,51.66666667,29,23,0,91,0,0,4,4,81,12,7,78,2,3,0.29304262,1.6432,22,0,10.0,1,1,33,29,4,1,0,,81,62.30769231,1,0,0,159,15,6,0,21,1914,0,0,0,0,1,0.0,0,0,0,1,205,2,0,6.743478261,0,0,0,0,0,0,0,1914.0,0.0,0,8,2,4,2,7,43.75,45,23,51.11111111,6,16,9,112,58.94736842,115,462,852,1314,10,1,1633,29,5
Timothy Castagne,Fulham,D,9,25.0,112,23,54.76190476,194,256,450,84.90566038,19,44.18604651,24,23,0,38,1,1,3,0,50,1,4,46,0,1,0.67282634,1.1143,14,0,0.0,0,0,24,22,2,0,0,,31,58.49056604,0,0,0,80,23,10,0,13,1249,0,0,0,0,0,0.0,0,0,0,0,131,2,0,6.6,0,0,0,0,0,0,0,0.0,0.0,0,9,0,2,4,1,25.0,26,16,61.53846154,10,4,36,50,52.08333333,42,241,289,530,9,1,831,4,3
Ryan Sessegnon,Fulham,D,6,13.04347826,126,20,37.73584906,242,237,479,76.39553429,19,44.18604651,24,24,1,66,3,1,5,3,62,17,12,96,0,1,1.7595031,1.165,31,0,15.38461538,2,3,29,25,4,2,0,,53,42.4,0,0,0,148,21,12,2,18,1639,3,0,0,0,2,0.0,0,0,0,0,304,3,0,6.534782609,0,0,0,0,0,0,0,819.5,0.0,0,11,2,5,3,7,31.81818182,43,25,58.13953488,12,22,46,72,42.85714286,53,322,305,627,13,0,1136,3,0
Issa Diop,Fulham,D,0,0.0,21,12,33.33333333,82,211,293,87.20238095,14,70.0,6,10,0,14,0,0,0,0,33,0,3,15,0,1,0.03717088,0.0194,7,0,0.0,0,0,11,10,1,0,0,,10,52.63157895,0,0,0,43,4,0,0,6,606,0,0,0,0,0,0.0,0,0,0,0,54,1,0,6.533333333,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,1,100.0,6,4,66.66666667,0,1,1,24,61.53846154,36,110,226,336,1,0,415,3,2
Jan Paul van Hecke,Brighton &amp; Hove Albion,D,9,47.36842105,260,107,48.1981982,666,1066,1732,87.16658279,86,56.95364238,65,29,2,85,2,2,7,6,154,3,16,105,1,0,1.2089526,2.1632,22,0,15.78947368,3,5,35,28,7,3,0,,77,65.81196581,1,0,1,255,32,10,0,29,2581,3,1,0,0,1,0.0,0,0,0,0,286,3,0,7.313793103,0,2,0,0,0,0,0,860.3333333,0.0,0,14,5,3,9,3,60.0,43,24,55.81395349,10,5,19,163,60.82089552,222,864,1123,1987,19,5,2404,34,7
Lewis Dunk,Brighton &amp; Hove Albion,D,1,20.0,164,75,48.38709677,544,1498,2042,92.14801444,68,61.26126126,43,29,0,121,1,0,5,6,132,4,19,79,1,2,0.5215836,1.1728,14,0,0.0,0,0,35,28,7,0,0,,45,55.55555556,0,0,0,174,29,6,0,28,2565,1,0,0,0,1,0.0,0,0,0,1,198,2,0,6.951724138,0,0,0,0,0,0,0,0.0,0.0,2,16,3,12,2,4,100.0,33,21,63.63636364,6,4,5,113,58.85416667,155,652,1564,2216,19,1,2552,8,10
Olivier Boscagli,Brighton &amp; Hove Albion,D,3,27.27272727,49,18,48.64864865,139,225,364,87.08133971,11,55.0,9,8,1,34,0,0,0,1,23,1,1,18,0,0,0.30799734,0.0382,7,0,0.0,0,1,5,5,0,0,0,,17,65.38461538,0,0,0,54,7,2,0,5,459,0,0,0,0,0,0.0,0,0,0,0,71,1,0,6.925,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,2,100.0,10,4,40.0,2,2,11,28,60.86956522,37,173,245,418,1,0,509,5,2
Joël Veltman,Brighton &amp; Hove Albion,D,2,16.66666667,69,11,31.42857143,134,131,265,79.10447761,18,64.28571429,10,19,0,34,0,0,1,1,39,2,7,30,0,0,0.13175198,0.952,9,0,33.33333333,1,1,12,11,1,1,0,,50,71.42857143,0,0,0,70,17,4,1,8,859,2,0,0,0,0,0.0,0,0,0,0,124,4,0,6.823529412,0,0,0,0,0,0,0,859.0,0.0,0,3,0,1,1,2,50.0,29,17,58.62068966,4,4,12,68,69.3877551,35,181,154,335,3,0,602,19,4
Ferdi Kad?o?lu,Brighton &amp; Hove Albion,D,21,22.10526316,299,38,45.23809524,520,392,912,85.23364486,24,46.15384615,28,30,0,110,0,2,6,7,63,16,28,93,0,0,2.42653624,1.5519,15,0,0.0,0,0,32,27,5,0,0,,94,59.11949686,0,0,2,158,19,17,0,27,2504,6,0,1,0,0,0.0,0,0,0,0,325,8,0,6.82,0,0,0,0,0,0,0,0.0,0.0,0,9,12,6,9,11,55.0,51,35,68.62745098,16,20,95,118,55.92417062,84,624,446,1070,21,1,1633,33,6
Maxim De Cuyper,Brighton &amp; Hove Albion,D,22,36.06557377,105,10,30.3030303,207,246,453,83.11926606,8,33.33333333,16,24,0,57,6,1,3,0,22,4,12,54,0,1,2.19376041,1.7056,15,0,18.18181818,2,2,18,12,6,2,0,,41,51.89873418,1,0,1,92,10,20,0,14,1183,1,0,1,0,1,0.0,0,0,0,0,164,8,0,6.773913043,0,1,0,0,0,0,0,591.5,0.0,3,5,6,2,6,4,33.33333333,19,10,52.63157895,19,12,61,49,47.57281553,33,273,272,545,11,1,795,18,2
Diego Coppola,Brighton &amp; Hove Albion,D,0,0.0,10,2,25.0,37,64,101,88.59649123,10,55.55555556,8,5,0,6,0,0,0,1,13,0,2,14,0,0,0.01608239,,4,0,0.0,0,0,3,2,1,0,0,,3,33.33333333,0,0,0,13,1,0,0,2,201,0,0,0,0,0,0.0,0,0,0,0,15,0,0,6.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,2,2,100.0,0,1,0,13,48.14814815,8,42,72,114,0,0,142,0,2
Mats Wieffer,Brighton &amp; Hove Albion,D,2,22.22222222,171,36,53.73134328,340,304,644,84.29319372,39,50.0,39,21,3,91,4,2,5,4,66,19,32,127,0,1,1.79489258,1.6736,26,0,0.0,0,3,20,16,4,0,0,,82,48.23529412,0,0,1,120,24,19,0,18,1581,2,0,0,0,0,0.0,0,0,0,0,201,10,0,6.680952381,0,0,0,0,0,0,0,0.0,0.0,0,11,5,7,4,7,38.88888889,58,36,62.06896552,19,18,9,121,48.79032258,67,417,347,764,16,1,1238,18,7
Igor Júlio,Brighton &amp; Hove Albion,D,0,0.0,2,2,33.33333333,5,11,16,72.72727273,0,0.0,1,4,0,3,0,0,0,0,10,0,0,2,0,0,0.00160173,,1,0,0.0,0,0,3,3,0,0,0,,0,0.0,0,0,0,6,1,1,0,1,122,0,0,0,0,0,0.0,0,0,0,0,9,0,0,6.366666667,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0.0,6,10,12,22,0,0,43,0,0
Nordi Mukiele,Sunderland,D,10,16.94915254,145,38,38.38383838,310,379,689,76.98324022,69,63.30275229,40,25,4,101,7,2,5,7,129,12,11,96,1,2,1.84345323,1.0051,23,0,6.25,1,5,28,22,6,1,0,,81,59.12408759,0,0,0,206,32,20,0,25,2165,2,1,0,0,0,0.0,0,0,0,0,418,3,0,6.976,0,1,0,0,0,0,0,2165.0,0.0,0,13,3,9,2,7,41.17647059,57,38,66.66666667,20,17,59,150,60.97560976,99,443,452,895,16,1,1549,20,4
Daniel Ballard,Sunderland,D,0,0.0,88,57,37.74834437,241,604,845,82.11856171,101,58.72093023,71,26,0,66,3,7,4,6,180,5,6,106,0,3,0.60034332,2.3805,25,0,8.0,2,2,28,22,6,2,0,,58,62.3655914,1,0,0,184,19,15,0,22,2007,3,0,0,0,0,0.0,0,0,0,1,205,1,0,6.973076923,0,1,0,0,0,0,0,1003.5,0.0,0,24,1,12,9,2,50.0,31,17,54.83870968,15,4,0,159,60.0,151,382,647,1029,25,3,1397,28,3
Jenson Seelt,Sunderland,D,0,0.0,9,2,25.0,41,55,96,88.0733945,5,83.33333333,1,2,0,6,0,0,0,0,7,1,1,4,0,0,0.01589663,,1,0,0.0,0,0,2,2,0,0,0,,5,62.5,0,0,0,13,0,0,0,1,134,0,0,0,0,0,0.0,0,0,0,0,15,0,0,6.95,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,4,0,0.0,0,0,1,10,71.42857143,8,51,58,109,0,0,128,1,0
Omar Alderete,Sunderland,D,2,22.22222222,103,68,40.23668639,305,584,889,82.16266174,73,57.48031496,54,27,1,86,1,2,6,7,189,12,7,103,0,3,0.86830449,1.3983,26,0,5.263157895,1,2,31,26,5,1,0,,48,49.48453608,1,0,3,193,28,9,0,26,2356,4,0,0,0,0,0.0,0,0,0,0,237,3,0,6.903703704,0,0,0,0,0,0,0,2356.0,0.0,0,14,5,5,8,15,78.94736842,27,15,55.55555556,9,19,9,121,54.01785714,169,450,632,1082,19,1,1488,7,6
Lutsharel Geertruida,Sunderland,D,2,28.57142857,95,23,46.93877551,224,294,518,85.05747126,10,47.61904762,11,25,0,60,1,1,4,2,43,3,12,44,0,2,0.73477277,0.8655,14,0,0.0,0,0,21,19,2,0,0,,45,57.69230769,0,0,0,91,16,7,0,14,1432,1,0,0,0,0,0.0,0,0,0,0,131,5,0,6.804,0,0,0,0,0,0,0,0.0,0.0,0,3,5,2,2,6,60.0,34,19,55.88235294,7,10,7,55,55.55555556,49,278,331,609,8,0,833,5,1
Trai Hume,Sunderland,D,11,13.75,169,36,39.13043478,342,303,645,73.798627,59,50.42735043,58,31,1,87,1,4,9,8,87,8,28,131,0,3,1.48587137,1.8893,25,0,0.0,0,1,33,28,5,0,0,,93,56.02409639,0,0,3,229,22,19,0,29,2583,1,0,0,0,1,0.0,0,0,0,0,394,8,0,6.712903226,0,0,0,0,0,0,0,0.0,0.0,0,14,14,14,5,3,20.0,57,41,71.92982456,19,15,80,152,53.71024735,92,509,365,874,28,0,1468,34,8
Dennis Cirkin,Sunderland,D,1,33.33333333,16,0,0.0,35,38,73,77.65957447,4,44.44444444,5,7,0,8,0,0,0,1,12,4,2,15,0,0,0.02549436,0.075,3,0,0.0,0,0,2,2,0,0,0,,13,56.52173913,0,0,0,21,5,0,0,3,311,0,0,0,0,0,0.0,0,0,0,0,36,0,0,6.65,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,3,75.0,8,5,62.5,0,4,3,17,53.125,3,49,45,94,1,0,164,2,1
Reinildo Mandava,Sunderland,D,3,16.66666667,97,18,37.5,232,265,497,85.83765112,24,52.17391304,22,18,1,67,0,0,2,4,63,12,9,78,0,0,0.55222309,0.1459,26,0,0.0,0,1,19,15,4,0,0,,65,53.71900826,0,0,0,82,23,4,0,17,1429,1,0,0,0,1,0.0,0,0,0,1,155,4,0,6.647058824,1,0,0,0,0,0,0,0.0,0.0,0,3,1,2,0,12,54.54545455,27,14,51.85185185,4,22,18,89,53.29341317,48,280,299,579,4,0,928,28,7
Arthur Masuaku,Sunderland,D,2,25.0,5,1,16.66666667,14,25,39,81.25,1,100.0,0,3,0,3,0,0,1,0,4,1,3,9,0,0,0.07911777,0.0705,3,0,0.0,0,0,2,2,0,0,0,,6,40.0,0,0,0,9,2,1,0,2,127,0,0,0,0,0,0.0,0,0,0,0,22,0,0,6.633333333,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,2,50.0,4,2,50.0,1,4,8,7,43.75,6,21,27,48,1,0,88,0,1
Luke O'Nien,Sunderland,D,0,0.0,14,7,33.33333333,31,38,69,71.875,3,27.27272727,8,8,0,5,0,0,0,1,7,1,1,13,1,0,0.03668258,,4,0,0.0,0,0,1,1,0,0,0,,7,58.33333333,0,0,1,27,3,0,0,2,254,0,0,0,0,0,0.0,0,0,0,0,54,0,0,6.525,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,3,2,66.66666667,0,0,6,10,43.47826087,21,52,44,96,0,0,160,4,1
Fabian Schär,Newcastle United,D,1,25.0,78,71,46.1038961,240,432,672,84.42211055,46,63.01369863,27,16,0,43,0,2,4,4,71,1,6,48,0,3,0.61340373,0.9829,15,0,0.0,0,0,13,10,3,0,0,,20,48.7804878,0,0,1,124,18,4,0,11,1091,1,0,0,0,0,0.0,0,0,0,0,138,1,0,7.1,0,0,0,0,0,0,0,0.0,0.0,2,7,10,9,4,0,0.0,14,10,71.42857143,4,1,4,66,57.89473684,154,336,460,796,17,1,975,6,1
Malick Thiaw,Newcastle United,D,1,12.5,146,69,59.48275862,462,716,1178,89.58174905,100,66.66666667,50,28,0,96,1,5,7,4,158,3,12,81,2,3,0.89161204,3.6676,19,0,16.0,4,4,42,37,5,4,0,,43,58.10810811,2,0,0,137,25,6,1,26,2334,2,0,0,0,1,0.0,0,0,0,0,158,0,0,7.053571429,0,1,0,0,0,0,0,583.5,0.0,0,23,2,6,12,4,100.0,31,23,74.19354839,6,4,8,143,63.83928571,116,551,764,1315,25,2,1662,9,3
Sven Botman,Newcastle United,D,0,0.0,26,34,49.27536232,172,497,669,88.2585752,52,63.41463415,30,18,1,62,2,1,1,4,84,4,1,42,0,3,0.38527949,1.4267,8,0,10.0,1,2,17,14,3,1,0,,26,68.42105263,1,0,1,89,8,6,0,14,1208,0,1,0,0,0,0.0,0,0,0,0,104,1,0,6.95625,0,0,0,0,0,0,0,1208.0,0.0,0,10,0,5,4,2,100.0,14,10,71.42857143,6,2,2,78,65.0,69,222,536,758,10,0,953,11,1
Lewis Hall,Newcastle United,D,15,16.85393258,260,38,40.42553191,496,367,863,85.19249753,24,51.06382979,23,24,1,111,4,1,10,3,65,31,12,104,1,1,2.44322319,0.8107,15,0,4.761904762,1,2,32,29,3,0,1,,114,58.46153846,0,0,2,150,24,20,1,19,1752,0,0,0,0,0,0.0,0,0,0,0,333,9,0,6.891304348,0,0,0,0,0,0,0,1752.0,0.0,3,6,15,7,4,34,58.62068966,46,26,56.52173913,20,58,89,138,57.02479339,94,599,414,1013,21,0,1638,34,3
Valentino Livramento,Newcastle United,D,9,30.0,178,18,60.0,287,208,495,89.35018051,5,35.71428571,9,15,1,73,1,0,2,5,34,7,8,47,0,0,0.89156888,0.1356,7,0,0.0,0,1,11,10,1,0,0,,44,53.65853659,0,0,0,59,6,11,0,12,1164,2,0,1,0,0,0.0,0,0,0,0,153,4,0,6.76,0,0,0,0,0,0,0,0.0,0.0,0,1,2,1,0,11,39.28571429,20,15,75.0,10,28,30,49,51.04166667,30,326,228,554,3,0,858,13,1
Kieran Trippier,Newcastle United,D,31,33.33333333,258,46,42.59259259,446,367,813,82.12121212,22,48.88888889,23,18,1,66,1,0,0,4,46,6,26,82,0,1,1.91405799,0.0823,21,0,0.0,0,1,25,22,3,0,0,,44,42.7184466,0,0,1,177,10,27,0,17,1461,1,0,0,0,0,0.0,0,0,0,0,274,1,0,6.705555556,0,0,0,0,0,0,0,0.0,0.0,2,0,2,2,0,4,40.0,23,12,52.17391304,27,10,93,66,44.59459459,108,588,402,990,2,0,1385,18,3
Dan Burn,Newcastle United,D,1,9.090909091,89,27,28.72340426,234,470,704,79.3686584,82,58.57142857,58,23,2,61,0,0,2,5,134,6,17,113,0,2,0.35702981,0.3717,33,0,0.0,0,2,28,25,3,0,0,,41,42.70833333,0,0,0,183,17,6,0,21,1824,2,0,0,0,1,0.0,0,0,0,1,243,2,0,6.556521739,1,0,0,0,0,0,0,0.0,0.0,0,5,0,2,1,2,100.0,31,21,67.74193548,6,2,11,123,52.11864407,94,361,526,887,5,0,1256,9,7
Jamaal Lascelles,Newcastle United,D,0,0.0,0,0,0.0,0,6,6,75.0,1,100.0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,3.89e-05,0.0375,0,0,0.0,0,0,2,2,0,0,0,,0,0.0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0.0,0,0,0,0,2,0,0,6.4,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,1,100.0,1,2,6,8,1,0,14,0,0
Emil Krafth,Newcastle United,D,0,0.0,4,0,0.0,7,7,14,73.68421053,0,0.0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0.00428481,,1,0,0.0,0,0,2,1,1,0,0,,0,0.0,0,0,0,5,0,0,0,1,45,0,0,0,0,0,0.0,0,0,0,0,8,0,0,5.8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,1,1,0,0.0,0,12,7,19,0,0,33,0,0
